Category,Modifiers,Command,Status,Description,Brief,Codewright,Personal,Notes,
Selections/Marks,`Alt`,`L`,not done,Begin selection (line),x,x,,,Brief
Cursor Motion/Scrolling,`Alt` + `Shift`,`Left`,not done,Previous Document Position (Back),,x,,,Codewright
Cursor Motion/Scrolling,`Ctrl`,`Left`,done,Word left,x,x,,,Brief
Window,`Shift`,`Left`,not done,Select window at left,,x,,,Codewright
Cursor Motion/Scrolling,,`Left`,done,Column left,x,x,,,Brief
Selections/Marks,`Alt`,`M`,not done,Begin selection (inclusive),x,x,,,Brief
Search/Replace,`Ctrl` + `Shift`,`M`,not done,Multi-buffer Search again,,,,,??
Buffer / File,`Alt`,`N`,done,Next buffer,x,x,,,Brief
System,`Ctrl`,`N`,not done,Next error,x,x,,,Brief
Editing,,`Numpad *`,done,Undo,x,x,,,Brief
Scrap/Clipboard,`Ctrl`,`Numpad /`,not done,Toggle clipboard/scrap,,x,,,Codewright
Scrap/Clipboard,,`Numpad -`,done,Cut,x,x,,,Brief
Scrap/Clipboard,,`Numpad +`,done,Copy,x,x,,,Brief
Selections/Marks,`Ctrl`,`Numpad` _number_,not done,Go to mark _number_,,,x,,Personal
Selections/Marks,,`Numpad` _number_,not done,Set mark _number_,,,x,,Personal
Buffer / File,`Alt`,`O`,done(vs),Change output name,x,x,,,Brief
Buffer / File,`Alt`,`P`,not done,Print buffer / selection,x,x,,,Brief
System,`Ctrl`,`P`,not done,Show errors,x,x,,,Brief
Cursor Motion/Scrolling,`Ctrl`,`PgDn`,done,End of Buffer / Bottom of file,x,x,,,Brief
Cursor Motion/Scrolling,,`PgDn`,done,Page down,x,x,,,Brief
Cursor Motion/Scrolling,`Ctrl`,`PgUp`,not done,Top of file,x,x,,,Brief
Cursor Motion/Scrolling,,`PgUp`,done,Page up,x,x,,,Brief
Editing,`Alt`,`Q`,not done,Quoted Insert,x,x,,,Brief
Search/Replace,`Ctrl` + `Shift`,`Q`,not done,Quick search for word,,x,,,Codewright
Buffer / File,`Alt`,`R`,not done,Read file into buffer,x,x,,,Brief
System,`Ctrl`,`R`,not done,Repeat key action,x,x,,,Brief
Cursor Motion/Scrolling,`Alt` + `Shift`,`Right`,not done,Next Document Position (Back),,x,,,Codewright
Cursor Motion/Scrolling,`Ctrl`,`Right`,done,Word right,x,x,,,Brief
Window,`Shift`,`Right`,not done,Select window at right,,x,,,Codewright
Cursor Motion/Scrolling,,`Right`,done,Column right,x,x,,,Brief
Search/Replace,`Alt`,`S`,done(vs),Search,x,x,,,Brief
Editing,`Shift`,`Space`,not done,Unindent block by space,,,,,**additional command. TODO tie to setting*
Editing,,`Space`,done,Space / Indent block by space,x,x,,,Brief
Search/Replace,`Alt`,`T`,done(vs),Replace,x,x,,,Brief
Cursor Motion/Scrolling,`Ctrl`,`T`,not done,Make current line top of window,x,x,,,Brief
Editing,`Shift`,`Tab`,done,Back Tab / Unindent block by tab,x,x,,,Brief
Editing,,`Tab`,done,Tab / Indent block by tab,x,x,,,Brief
Editing,`Alt`,`U`,done,Undo,x,x,,,Brief
Editing,`Ctrl`,`U`,not done,Redo,x,x,,,Brief
Window,`Alt` + `Shift`,`Up`,not done,Previous split window pane,,x,,,Codewright
Window,`Shift`,`Up`,not done,Select window above,,x,,,Codewright
Cursor Motion/Scrolling,,`Up`,done,Line up,x,x,,,Brief
System,`Alt`,`V`,not done,Print version,x,x,,,Brief
Buffer / File,`Alt`,`W`,done,Save file,x,x,,,Brief
Buffer / File,`Alt`,`W`,not done,Write selection to file,x,?,,,Brief
System,`Ctrl`,`W`,n/a,Backups on/off,x,x,,,Brief
System,`Alt`,`X`,not done,Quit with prompt,x,x,,,Brief
System,`Ctrl`,`X`,not done,Quit with write,x,x,,,Brief
Editing,`Alt`,`Y`,done,Redo,,x,,,Codewright
System,`Alt`,`Z`,not done,Suspend Brief / Shell,x,x,,,Brief n/a.  Codewright?
Window,`Ctrl`,`Z`,not done,Zoom/Unzoom window,x,x,,,Brief
